timestamp,condition,ins_type,strike_price,expiry,price,type,buy_or_sell,status,pnl,balance
2019-04-03 15:17:00,premimum > 45; type2 purchase,CE,11850.0,2019-04-11,32.65,2,sell,open,-,217.04999999999993
2019-04-04 09:19:00,Type 2 premium < 30,CE,11850.0,2019-04-11,30.0,2,sell,closed,2.6499999999999986,219.69999999999993
2019-04-04 09:24:00,premimum > 45; type2 purchase,CE,11800.0,2019-04-11,36.55,2,sell,open,-,219.69999999999993
2019-04-04 11:56:00,Type 2 premium < 30,CE,11800.0,2019-04-11,29.6,2,sell,closed,6.949999999999996,226.64999999999992
2019-04-04 11:57:00,premimum > 45; type2 purchase,CE,11800.0,2019-04-11,28.05,2,sell,open,-,226.64999999999992
2019-04-04 11:57:00,Type 2 premium < 30,CE,11800.0,2019-04-11,28.05,2,sell,closed,0.0,226.64999999999992
2019-04-04 11:58:00,premimum > 45; type2 purchase,CE,11800.0,2019-04-11,27.0,2,sell,open,-,226.64999999999992
2019-04-04 11:58:00,premimum > 45; type2 purchase (Hedging),CE,12000.0,2019-04-11,5.0,2,buy,open,-,226.64999999999992
2019-04-04 11:58:00,Type 2 premium < 30,CE,11800.0,2019-04-11,27.0,2,sell,closed,0.0,226.64999999999992
2019-04-05 15:29:00,Profit Premimum below 15,PE,11550.0,2019-04-11,14.5,1,sell,closed,22.1,248.74999999999991
2019-04-05 15:29:00,Profit Premimum below 15; bying again,PE,11650.0,2019-04-11,37.75,1,sell,open,-,248.74999999999991
2019-04-05 15:29:00,Profit Premimum below 15; bying again (Hedging),PE,11400.0,2019-04-11,4.15,1,buy,open,-,248.74999999999991
2019-04-08 15:30:00,weekly closing,CE,12000.0,2019-04-11,1.2,2,buy,closed,-3.8,244.9499999999999
2019-04-08 15:30:00,weekly closing,PE,11650.0,2019-04-11,72.9,1,sell,closed,-35.150000000000006,209.7999999999999
2019-04-08 15:30:00,weekly closing,PE,11400.0,2019-04-11,5.2,1,buy,closed,1.0499999999999998,210.8499999999999
2019-04-09 14:15:00,60 < RSI-D; 50 < RSI-H,PE,11500.0,2019-04-18,33.6,1,sell,open,-,210.8499999999999
2019-04-11 11:15:00,40 < RSI-D < 60; RSI-H < 40,CE,11700.0,2019-04-18,37.3,1,sell,open,-,210.8499999999999
2019-04-11 11:15:00,40 < RSI-D < 60; RSI-H < 40 (Hedging),CE,12000.0,2019-04-18,2.35,1,buy,open,-,210.8499999999999
2019-04-12 14:11:00,Profit Premimum below 15,PE,11500.0,2019-04-18,14.75,1,sell,closed,18.85,229.6999999999999
2019-04-12 14:11:00,Profit Premimum below 15; bying again,PE,11600.0,2019-04-18,36.95,1,sell,open,-,229.6999999999999
2019-04-12 14:17:00,Stoploss Hit,CE,11700.0,2019-04-18,52.3,1,sell,closed,-15.0,214.6999999999999
2019-04-15 15:23:00,Profit Premimum below 15,PE,11600.0,2019-04-18,14.25,1,sell,closed,22.700000000000003,237.39999999999992
2019-04-15 15:23:00,Profit Premimum below 15; bying again,PE,11650.0,2019-04-18,23.5,1,sell,open,-,237.39999999999992
2019-04-15 15:30:00,weekly closing,CE,12000.0,2019-04-18,0.9,1,buy,closed,-1.4500000000000002,235.94999999999993
2019-04-15 15:30:00,weekly closing,PE,11650.0,2019-04-18,24.15,1,sell,closed,-0.6499999999999986,235.29999999999993
2019-04-16 10:15:00,60 < RSI-D; 50 < RSI-H,PE,11650.0,2019-04-25,31.5,1,sell,open,-,235.29999999999993
2019-04-22 09:36:00,premimum > 45; type2 purchase,CE,11750.0,2019-04-25,27.95,2,sell,open,-,235.29999999999993
2019-04-22 09:36:00,premimum > 45; type2 purchase (Hedging),CE,12000.0,2019-04-25,2.7,2,buy,open,-,235.29999999999993
2019-04-22 09:36:00,Type 2 premium < 30,CE,11750.0,2019-04-25,27.95,2,sell,closed,0.0,235.29999999999993
2019-04-22 09:38:00,Stoploss Hit,PE,11650.0,2019-04-25,53.0,1,sell,closed,-21.5,213.79999999999993
2019-04-22 15:30:00,weekly closing,CE,12000.0,2019-04-25,2.0,2,buy,closed,-0.7000000000000002,213.09999999999994
2019-04-23 09:15:00,40 < RSI-D < 60; RSI-H < 40,CE,11800.0,2019-05-02,34.45,1,sell,open,-,213.09999999999994
2019-04-23 12:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,PE,11500.0,2019-05-02,34.0,1,sell,open,-,213.09999999999994
2019-04-23 15:15:00,40 < RSI-D < 60; crossunder 35,PE,11500.0,2019-05-02,41.25,1,sell,closed,-7.25,205.84999999999994
2019-04-24 12:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,PE,11500.0,2019-05-02,32.95,1,sell,open,-,205.84999999999994
2019-04-24 13:16:00,Profit Premimum below 15,CE,11800.0,2019-05-02,15.0,1,sell,closed,19.450000000000003,225.29999999999995
2019-04-24 13:16:00,Profit Premimum below 15; bying again,CE,11700.0,2019-05-02,33.75,1,sell,open,-,225.29999999999995
2019-04-24 13:16:00,Profit Premimum below 15; bying again (Hedging),CE,12000.0,2019-05-02,3.95,1,buy,open,-,225.29999999999995
2019-04-24 14:31:00,Profit Premimum below 15,PE,11500.0,2019-05-02,14.8,1,sell,closed,18.150000000000002,243.44999999999996
2019-04-24 14:31:00,Profit Premimum below 15; bying again,PE,11600.0,2019-05-02,34.65,1,sell,open,-,243.44999999999996
2019-04-24 15:15:00,40 < RSI-D < 60; crossover 65,CE,11700.0,2019-05-02,87.15,1,sell,closed,-53.400000000000006,190.04999999999995
2019-04-24 15:15:00,45 < RSI-D < 60; crossover 55,PE,11600.0,2019-05-02,21.35,1,sell,closed,13.299999999999997,203.34999999999997
2019-04-25 09:15:00,60 < RSI-D; 50 < RSI-H,PE,11650.0,2019-05-02,35.95,1,sell,open,-,203.34999999999997
2019-04-25 11:25:00,Profit Premimum below 15,PE,11650.0,2019-05-02,14.95,1,sell,closed,21.000000000000004,224.34999999999997
2019-04-25 11:25:00,Profit Premimum below 15; bying again,PE,11750.0,2019-05-02,35.7,1,sell,open,-,224.34999999999997
2019-04-25 11:25:00,Profit Premimum below 15; bying again (Hedging),PE,11400.0,2019-05-02,3.5,1,buy,open,-,224.34999999999997
2019-04-25 12:18:00,premimum > 45; type2 purchase,CE,11850.0,2019-05-02,24.2,2,sell,open,-,224.34999999999997
2019-04-25 12:18:00,premimum > 45; type2 purchase (Hedging),CE,12000.0,2019-05-02,4.1,2,buy,open,-,224.34999999999997
2019-04-25 12:18:00,Type 2 premium < 30,CE,11850.0,2019-05-02,24.2,2,sell,closed,0.0,224.34999999999997
2019-04-26 14:15:00,45 < RSI-D < 60; crossover 55,PE,11750.0,2019-05-02,60.2,1,sell,closed,-24.5,199.84999999999997
2019-04-26 15:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,PE,11700.0,2019-05-02,32.3,1,sell,open,-,199.84999999999997
2019-04-26 15:15:00,40 < RSI-D < 60; 40 < RSI-H < 60 (Hedging),PE,11400.0,2019-05-02,2.9,1,buy,open,-,199.84999999999997
2019-04-30 15:01:00,Profit Premimum below 15,PE,11700.0,2019-05-02,14.3,1,sell,closed,17.999999999999996,217.84999999999997
2019-04-30 15:01:00,Profit Premimum below 15; bying again,PE,11750.0,2019-05-02,33.3,1,sell,open,-,217.84999999999997
